english_word,ground_truth,attention_prediction,vanilla_prediction
ut,উট,উট,ইউটি
bag,বাগ,বাগ,ব্যাগ
lay,লে,লে,লায়ে
dev,দেব,দেব,ডেভ
nag,নাগ,নাগ,ন্গ
peck,পেক,পেক,পিক
saif,সাইফ,সাইফ,সেফ
amuu,আমু,আমু,আমুয়ু
doda,দোদা,দোদা,ডোডা
pope,পোপ,পোপ,পোপে
jose,জোস,জোস,জোসে
jind,জিন্দ,জিন্দ,জিন্ড
suti,সুতি,সুতি,সুতী
abash,অবশ,অবশ,আবশ
zaana,জানা,জানা,যানা
kirby,কির্বি,কির্বি,কার্বি
union,ইউনিয়ন,ইউনিয়ন,ইউনিওন
dipun,দিপুন,দিপুন,দীপুন
foley,ফলে,ফলে,ফলি
arias,আরিয়াস,আরিয়াস,অরিয়াস
tumio,তুমিও,তুমিও,টুমিও
halka,হালকা,হালকা,হলকা
piret,পিরেত,পিরেত,পিরেট
dabar,দাবার,দাবার,ডাবার
bisht,বিস্ট,বিস্ট,বিআসটি
audit,অডিট,অডিট,অদীত
floyd,ফ্লয়েড,ফ্লয়েড,ফ্লোড
guder,গুদের,গুদের,গুড়ার
purbe,পূর্বে,পূর্বে,পূরবে
karit,করিত,করিত,কারিট
jaate,জাতে,জাতে,যাতে
kitex,কিটেক্স,কিটেক্স,কাটেক্স
baser,বাসের,বাসের,বসের
sinha,সিনহা,সিনহা,সিন্হা
soore,সুরে,সুরে,সূরে
jonng,জং,জং,জন
botso,বৎস,বৎস,বোৎসো
dadra,দাদরা,দাদরা,দাদ্রা
habra,হাবরা,হাবরা,হাব্রা
patil,পাটিল,পাটিল,পাতিল
rewari,রেওয়ারি,রেওয়ারি,রেওয়ারী
dauqee,ডাউকি,ডাউকি,দাউক
dokani,দোকানি,দোকানি,দোকানী
acider,অ্যাসিডের,অ্যাসিডের,অ্যাসাইডের
bharat,ভারত,ভারত,ভারাত
dalmia,ডালমিয়া,ডালমিয়া,দালমিয়া
etodin,এতোদিন,এতোদিন,এতদিন
jewske,জিউসকে,জিউসকে,জেউসকে
durgey,দুর্গে,দুর্গে,ডুর্গে
melton,মেল্টন,মেল্টন,মেলটটন
upanam,উপনাম,উপনাম,উপানম
modyop,মদ্যপ,মদ্যপ,মড্যপ
janaay,জনায়,জনায়,জানায়
protha,প্রথা,প্রথা,প্রোথা
eekbal,ইকবাল,ইকবাল,এইকবল
finley,ফাইনলি,ফাইনলি,ফিনলি
chhilo,ছিলো,ছিলো,ছিল
keizer,কেইজের,কেইজের,কেইজার
kerala,কেরালা,কেরালা,কেরাল
zaanai,জানাই,জানাই,যানাই
newark,নেওয়ার্ক,নেওয়ার্ক,নিওয়ার্ক
jammur,জম্মুর,জম্মুর,জামুর
daunee,ডাউনি,ডাউনি,দাউনি
kobjee,কবজি,কবজি,কবজী
garcia,গার্সিয়া,গার্সিয়া,গারসিয়া
ankeet,অঙ্কিত,অঙ্কিত,অঁকিত
naples,নেপলস,নেপলস,ন্পলেস
cotton,কটন,কটন,কটটন
lompoc,লম্পক,লম্পক,লম্পোক
farmer,ফার্মার,ফার্মার,ফারমার
shores,শোরেস,শোরেস,শরেস
hilton,হিল্টন,হিল্টন,হিলটন
prapak,প্রাপক,প্রাপক,প্রপাক
godfrey,গডফ্রে,গডফ্রে,গডফ্রি
mausumi,মৌসুমি,মৌসুমি,মৌসুমী
deobond,দেওবন্দ,দেওবন্দ,দেওবন্ড
bristol,ব্রিস্টল,ব্রিস্টল,বৃষ্টল
midland,মিডল্যান্ড,মিডল্যান্ড,মিডলাযান্ড
maggite,ম্যাগিতে,ম্যাগিতে,ম্যাগটিতে
uskaani,উস্কানি,উস্কানি,উসকানি
washing,ওয়াশিং,ওয়াশিং,ওয়াসিং
zayanta,জায়ান্ট,জায়ান্ট,জয়ান্ত
atishth,অতিষ্ঠ,অতিষ্ঠ,অতিস্থ
akhando,অখণ্ড,অখণ্ড,অখন্ড
ekokkey,একককে,একককে,একক্কে
koppula,কোপ্পুলা,কোপ্পুলা,কোপপুলা
kormira,কর্মীরা,কর্মীরা,করমিরা
janaley,জানালে,জানালে,জানালি
maxwell,ম্যাক্সওয়েল,ম্যাক্সওয়েল,ম্যাক্সেল
taateyi,তাতেই,তাতেই,তাঁটেই
durgato,দুর্গত,দুর্গত,দুর্গাত
shommot,সম্মত,সম্মত,শম্মত
daabeet,দাবীত,দাবীত,দাবিত
baadaal,বাড়াল,বাড়াল,বাডাল
bekeeng,বেকিং,বেকিং,বেকেং
spirits,স্পিরিটস,স্পিরিটস,স্পারিটস
awasthi,অবস্থি,অবস্থি,আওস্থি
troopce,ট্রুপস,ট্রুপস,ট্রপপস
nanwani,নান্বনি,নান্বনি,নানবানি
aropito,আরোপিত,আরোপিত,অরোপিত
solanki,সোলঙ্কি,সোলঙ্কি,সোলাঙ্কি
abohito,অবহিত,অবহিত,অবিত
kkhurer,ক্ষুরের,ক্ষুরের,খুখুরের
albarto,আলবার্তো,আলবার্তো,আলবার্ত
jemasha,জেমস,জেমস,জেমাসা
kyareta,ক্যারেট,ক্যারেট,ক্যারেটা
himadri,হিমাদ্রি,হিমাদ্রি,হিমাদ্রী
herrera,হেররেরা,হেররেরা,হেরেরা
codekey,কোডকে,কোডকে,কোডেকে
anaitik,অনৈতিক,অনৈতিক,অনাইতিক
prastho,প্রস্থ,প্রস্থ,প্রাস্থ
shoodhai,শুধাই,শুধাই,সুধাই
protikar,প্রতিকার,প্রতিকার,প্রতীকার
rakhecha,রাখেচা,রাখেচা,রাখেছা
highland,হাইল্যান্ড,হাইল্যান্ড,হাইলান্ড
dobhashi,দোভাষী,দোভাষী,দোভাশী
bhugoler,ভূগোলের,ভূগোলের,ভূগলের
onnyorao,অন্যরাও,অন্যরাও,অন্যারও
apamaane,অপমানে,অপমানে,আপামানে
bhansali,ভানসালি,ভানসালি,ভন্সালি
sathigon,সাথীগণ,সাথীগণ,সাথিগণ
aarakani,আরাকানি,আরাকানি,আরাকানী
silverer,সিলভারের,সিলভারের,সিলভেরের
jansanke,জনসনকে,জনসনকে,জানসানকে
joomlaar,জুমলার,জুমলার,জমলার
janajaag,জনজাগ,জনজাগ,জানাজাগ
dhhaaley,ঢালে,ঢালে,ঢ্যালি
bujhalen,বুঝলেন,বুঝলেন,বুঝালেন
poorohit,পুরোহিত,পুরোহিত,পুরোহিট
shorifey,শরিফে,শরিফে,শরীফে
mittroke,মিত্রকে,মিত্রকে,মিত্ত্রকে
sterlite,স্টেরলাইট,স্টেরলাইট,স্টারলাইট
michiley,মিছিলে,মিছিলে,মিচিলে
hexaware,হেক্সাওয়ার,হেক্সাওয়ার,হেক্সওয়ারের
tamuddin,তমুদ্দিন,তমুদ্দিন,তমুদ্দীন
tirupati,তিরুপতি,তিরুপতি,তিরূপতি
martinez,মার্টিনেজ,মার্টিনেজ,মারটিনেজ
ayaanter,অ্যান্টের,অ্যান্টের,অ্যান্টার
karaatei,করাতেই,করাতেই,কারাতেই
